no. vuelo,charter,fecha,origen,destino,precio adulto,precio niño,precio infante,peso incluido,precio maleta,precio caja
WQ505,CHOICE AIRE,01/31/16 15:45,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,103 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
,,,,,,,,,,
WQ506,CHOICE AIRE,11/1/2015 18:00:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,106 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,11/8/2015 18:00:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,107 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,11/15/15 18:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,108 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,11/22/15 18:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,109 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,11/29/15 18:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,110 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,12/6/2015 15:45:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,111 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,12/13/15 15:45,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,112 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,12/20/15 18:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,113 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,12/27/15 18:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,114 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,1/3/2016 18:00:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,115 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,1/10/2016 18:00:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,116 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,01/17/16 18:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,117 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,01/24/16 18:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,118 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ506,CHOICE AIRE,01/31/16 18:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,119 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
,,,,,,,,,,
WQ908,CHOICE AIRE,11/2/2015 11:30:00,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,122 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/6/2015 12:30:00,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,123 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/9/2015 11:30:00,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,124 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/13/15 12:30,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,125 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/16/15 11:30,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,126 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/20/15 12:30,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,127 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/23/15 11:30,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,128 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/27/15 12:30,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,129 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/30/15 11:15,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,130 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,11/30/15 16:30,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,131 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,12/4/2015 15:15:00,HAVANA (HAV),FORT MYERS (RSW),$399.00,$399.00,125,132 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,12/7/2015 11:30:00,HAVANA (HAV),FORT MYERS (RSW),$399.00,$399.00,125,133 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,12/11/2015 15:15:00,HAVANA (HAV),FORT MYERS (RSW),$399.00,$399.00,125,134 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
